,חדרים,קומה,"מ""ר",מצב הנכס,קומות בבנין,מרפסות,חניות,סוג נכס,שכונה,עיר,תיווך,מיזוג,סורגים,מעלית,מטבח כשר,דוד שמש,גישה לנכים,"ממ""ד",משופצת,מחסן,מזגן תדיראן,ריהוט,גמיש,מחיר
34,8,22,284,חדש מקבלן,24,3,2,טריפלקס, נתניה, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"13,800,000 ₪"
35,6,קרקע,230,חדש מקבלן,,1,2,דו משפחתי, נוף הטיילת, נתניה,0,1,0,1,,1,1,1,0,0,0,0,0,"6,000,000 ₪"
36,5,3,155,משופץ,8,1,1,דירה, קרית השרון, נתניה,0,1,1,1,,1,0,1,1,1,1,1,1,"3,195,000 ₪"
37,5,6,142,משופץ,17,1,2,דירה, אגמים, נתניה,1,1,0,1,,0,1,1,1,1,0,0,0,"3,550,000 ₪"
38,4,5,96,משופץ,8,,1,דירה, גבעת האירוסים, נתניה,0,1,0,1,,1,1,1,1,0,0,0,0,"2,280,000 ₪"
39,5,7,125,במצב שמור,9,1,1,דירה, רמת אפרים, נתניה,1,1,1,1,,1,1,1,1,1,1,1,1,"2,300,000 ₪"
40,5,20,132,חדש,28,1,2,דירה, אגמים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"3,950,000 ₪"
41,3,6,87,במצב שמור,6,1,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,0,0,0,0,0,0,0,0,"2,250,000 ₪"
42,5,3,145,משופץ,7,1,1,דופלקס, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,0,0,0,"2,550,000 ₪"
43,4,5,100,במצב שמור,8,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,1,1,0,0,0,0,0,"2,300,000 ₪"
44,5,6,370,משופץ,7,3,2,גג/פנטהאוז, נאות הרצל, נתניה,,1,0,1,0,1,1,1,1,1,0,0,0,"3,200,000 ₪"
45,4.5,15,165,חדש,34,1,2,דירה, עיר ימים, נתניה,,1,0,1,0,0,0,1,0,1,0,0,0,"9,200,000 ₪"
46,5,1,132,במצב שמור,8,1,1,דירה, רמת פולג, נתניה,,1,0,1,0,1,0,1,0,0,1,0,0,"3,400,000 ₪"
47,3,קרקע,650,דרוש שיפוץ,,2,ללא,בית פרטי/קוטג', רמת חן ובן ציון, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,לא צוין מחיר
48,3,קרקע,90,במצב שמור,3,1,1,דירת גן, קרית נורדאו, נתניה,,1,1,1,0,1,1,1,0,1,0,0,0,"1,950,000 ₪"
49,5,2,132,משופץ,7,1,2,דירה, אגמים, נתניה,,1,1,1,0,1,1,1,1,0,0,1,1,"3,220,000 ₪"
50,4,2,98,דרוש שיפוץ,2,2,1,דופלקס, גבעת האירוסים, נתניה,,1,0,0,0,1,0,0,0,0,0,0,0,"2,100,000 ₪"
51,3,4,102,חדש מקבלן,9,1,1,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,1,1,0,1,1,0,0,"2,500,000 ₪"
52,4,11,122,משופץ,14,1,1,דירה, גלי הים, נתניה,,1,0,1,0,0,0,1,0,1,1,0,0,"3,220,000 ₪"
53,5,9,131,חדש מקבלן,13,1,2,דירה, קרית נורדאו, נתניה,,0,0,1,1,0,1,1,1,1,0,0,0,"2,580,000 ₪"
54,5,9,140,חדש,27,1,2,דירה, אגמים, נתניה,,1,0,1,0,0,1,1,0,1,1,0,0,"3,570,000 ₪"
55,7,קרקע,350,משופץ,,,1,בית פרטי/קוטג', רמת ידין, נתניה,,1,0,0,1,1,1,0,1,1,0,0,0,לא צוין מחיר
56,4,1,112,משופץ,8,,ללא,דירה, קרית השרון, נתניה,,1,0,1,0,1,1,1,1,0,0,0,0,"1,900,000 ₪"
57,5,1,185,משופץ,3,,1,דירת גן, משכנות זבולון, נתניה,,1,1,1,1,1,1,1,1,1,1,0,0,"3,500,000 ₪"
58,7,6,297,משופץ,6,1,1,דופלקס, צפון מערב מרכז העיר, נתניה,,1,0,1,0,1,0,0,1,1,1,1,1,"3,590,000 ₪"
59,5,5,127,משופץ,9,1,2,דירה, קרית השרון, נתניה,,1,1,1,0,1,1,0,1,1,0,0,0,"3,300,000 ₪"
60,2.5,2,55,דרוש שיפוץ,2,1,ללא,דירה, רמת ידין, נתניה,,1,0,0,0,0,0,0,0,1,0,0,0,"1,600,000 ₪"
61,5,17,200,חדש,24,1,2,דופלקס ,,נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"7,500,000 ₪"
62,5,13,165,חדש,24,,2,דירה, עיר ימים, נתניה,0,1,0,1,,1,1,1,1,0,1,1,1,"5,500,000 ₪"
63,6,קרקע,300,במצב שמור,,1,1,דו משפחתי, רמת אפרים, נתניה,0,1,0,0,,0,1,0,0,0,0,0,0,"3,350,000 ₪"
64,5,14,144,חדש,20,1,2,דירה, עיר ימים, נתניה,0,1,1,1,,0,1,1,1,1,1,1,1,"4,800,001 ₪"
65,3.5,2,96,משופץ,15,1,1,דירה, גלי הים, נתניה,0,1,0,1,,1,1,1,1,0,1,0,0,"2,370,000 ₪"
66,4,5,96,משופץ,8,,1,דירה, גבעת האירוסים, נתניה,0,1,0,1,,1,1,1,1,0,0,0,0,"2,280,000 ₪"
67,5,8,310,משופץ,8,2,2,גג/פנטהאוז, קרית השרון, נתניה,0,1,0,1,,1,0,1,1,1,1,0,0,"4,950,000 ₪"
68,4,20,200,משופץ,21,1,2,גג/פנטהאוז, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"6,800,000 ₪"
69,8,22,284,חדש מקבלן,24,3,2,טריפלקס, נתניה, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"13,800,000 ₪"
70,5,20,132,חדש,28,1,2,דירה, אגמים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"3,950,000 ₪"
71,4,5,85,משופץ,8,,ללא,דירה, קרית נורדאו, נתניה,1,1,0,1,,1,1,0,1,0,1,1,1,"1,580,000 ₪"
72,5,קרקע,187,חדש מקבלן,,2,2,בית פרטי/קוטג', נתניה, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"10,000,000 ₪"
73,3,8,59,משופץ,9,,ללא,דירה, נאות שקד, נתניה,0,1,0,1,,1,0,0,0,0,0,0,0,"1,550,000 ₪"
74,5,קרקע,147,חדש,2,2,1,דירת גן, נתניה, נתניה,0,1,1,0,,1,1,1,1,0,1,0,0,"4,325,000 ₪"
75,6,קרקע,220,משופץ,,,2,בית פרטי/קוטג', נוף הטיילת, נתניה,0,1,0,0,,1,0,1,1,0,0,0,0,"5,900,000 ₪"
76,3,1,108,חדש מקבלן,4,1,1,דירה, רמת אפרים, נתניה,0,1,0,1,,0,1,1,0,1,1,0,0,לא צוין מחיר
77,6,1,170,משופץ,2,2,1,דופלקס, קרית צאנז, נתניה,0,1,0,1,,0,0,0,1,1,0,0,0,"3,490,000 ₪"
78,5,3,148,חדש,23,1,2,דירה, נתניה, נתניה,0,1,1,1,,0,1,1,1,1,0,0,0,"4,290,000 ₪"
79,4,6,106,דרוש שיפוץ,8,1,1,דירה, נתניה, נתניה,0,1,0,1,,1,1,0,0,0,0,0,0,"2,250,000 ₪"
80,3.5,2,96,משופץ,15,1,1,דירה, גלי הים, נתניה,0,1,0,1,,1,1,1,1,0,1,0,0,"2,370,000 ₪"
81,4,1,82,משופץ,4,,ללא,דירה, נאות שקד, נתניה,0,1,1,0,,0,0,0,1,0,1,0,0,"1,420,000 ₪"
82,5,21,170,משופץ,22,2,2,גג/פנטהאוז, קרית השרון, נתניה,0,0,0,1,,1,1,1,1,1,0,0,0,"4,000,000 ₪"
83,4,1,110,משופץ,7,2,1,דירה, קרית השרון, נתניה,,1,1,1,0,1,1,1,1,0,0,0,0,"2,690,000 ₪"
84,3,1,100,במצב שמור,8,,ללא,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,1,0,0,0,0,0,0,"2,400,000 ₪"
85,5,8,220,משופץ,8,3,1,גג/פנטהאוז, צפון מערב מרכז העיר, נתניה,,1,1,1,0,1,1,0,1,0,0,1,1,"3,500,000 ₪"
86,3,1,70,משופץ,4,1,ללא,דירה, נאות שקד, נתניה,,1,1,0,0,1,0,0,0,0,0,0,0,"1,550,000 ₪"
87,5,1,130,משופץ,7,1,2,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,0,1,1,0,0,0,0,"2,625,000 ₪"
88,4,5,144,חדש,22,1,2,דירה, עיר ימים, נתניה,,1,0,1,0,0,1,1,1,1,0,0,0,"5,280,000 ₪"
89,4.5,2,138,משופץ,11,1,1,דירה, נוף הטיילת, נתניה,,1,0,1,0,0,1,1,1,0,0,1,1,"3,550,000 ₪"
90,5,קרקע,285,במצב שמור,2,2,1,דירת גן, רמת אפרים, נתניה,,1,1,0,1,1,0,1,0,0,1,0,0,"3,500,000 ₪"
91,1.5,3,30,חדש,,,1,יחידת דיור, מרכז העיר דרום, נתניה,,1,0,0,0,0,0,0,1,0,0,1,1,"595,000 ₪"
92,5,5,132,משופץ,9,,ללא,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,1,1,1,0,1,0,0,0,0,"2,300,000 ₪"
93,5,13,140,במצב שמור,20,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,0,1,0,0,0,0,0,"3,090,000 ₪"
94,5,4,240,חדש,4,2,2,גג/פנטהאוז, אגמים, נתניה,,1,0,1,0,1,1,1,1,1,1,1,1,"4,900,000 ₪"
95,5,4,128,במצב שמור,6,1,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,1,0,1,0,0,0,0,0,"2,949,000 ₪"
96,6,קרקע,240,במצב שמור,,2,ללא,בית פרטי/קוטג', נאות הרצל, נתניה,,1,0,0,0,1,0,0,0,1,0,1,1,"3,500,000 ₪"
97,2.5,4,57,דרוש שיפוץ,4,2,ללא,דירה, צפון מזרח מרכז העיר, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,לא צוין מחיר
98,6,4,158,משופץ,34,1,2,דירה, עיר ימים, נתניה,,1,0,1,0,1,0,1,1,1,1,0,0,"5,800,000 ₪"
99,3.5,3,90,משופץ,11,1,2,דירה, רמת חן ובן ציון, נתניה,,1,0,1,0,1,1,1,1,1,0,0,0,"2,050,000 ₪"
100,4.5,4,115,משופץ,6,,1,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,0,0,0,0,1,0,0,"2,500,000 ₪"
101,5,קרקע,147,חדש,2,2,1,,,,0,1,1,0,,1,1,1,1,0,1,0,0,"4,325,000 ₪"
102,4,6,106,דרוש שיפוץ,8,1,1,דירה, נתניה, נתניה,0,1,0,1,,1,1,0,0,0,0,0,0,"2,250,000 ₪"
103,5,8,126,משופץ,9,1,1,דירה, צפון מזרח מרכז העיר, נתניה,1,1,1,1,,1,1,1,1,0,1,0,0,"3,290,000 ₪"
104,5,7,141,משופץ,28,1,2,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,1,,0,1,1,1,1,1,0,0,"3,550,000 ₪"
105,3,3,94,חדש מקבלן,4,1,1,דירה, רמת אפרים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"2,300,000 ₪"
106,3.5,קרקע,96,משופץ,9,,1,דירת גן, גלי הים, נתניה,1,1,0,1,,0,1,1,1,0,0,0,0,"3,100,000 ₪"
107,3,קרקע,50,במצב שמור,2,,ללא,דירה, נתניה, נתניה,0,0,0,0,,0,0,0,0,0,0,0,0,"1,350,000 ₪"
108,6,קרקע,554,משופץ,,3,3,דו משפחתי, נוף הטיילת, נתניה,1,1,0,0,,0,0,0,1,1,0,0,0,"8,490,000 ₪"
109,4,1,113,משופץ,16,1,1,דירה, קרית השרון, נתניה,1,1,0,1,,0,0,1,1,1,1,0,0,"2,590,000 ₪"
110,7,קרקע,600,דרוש שיפוץ,,,3,בית פרטי/קוטג', נאות גנים, נתניה,0,0,0,0,,0,1,0,0,0,0,0,0,"3,700,000 ₪"
111,6,קרקע,230,חדש מקבלן,,1,2,דו משפחתי, נוף הטיילת, נתניה,0,1,0,1,,1,1,1,0,0,0,0,0,"6,000,000 ₪"
112,5,1,134,חדש,8,1,2,דירה, נתניה, נתניה,0,1,1,1,,1,1,1,0,1,1,0,0,"3,200,000 ₪"
113,5,2,120,במצב שמור,7,1,2,דירה, נתניה, נתניה,0,1,0,1,,1,0,1,0,0,0,0,0,"2,650,000 ₪"
114,4,1,132,חדש,8,2,2,דירה, אגמים, נתניה,0,1,0,1,,1,1,1,1,1,0,0,0,"3,490,000 ₪"
115,5,6,133,חדש,9,1,2,דירה, נתניה, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"3,250,000 ₪"
116,5,6,142,משופץ,17,1,2,דירה, אגמים, נתניה,1,1,0,1,,0,1,1,1,1,0,0,0,"3,550,000 ₪"
117,5.5,5,127,במצב שמור,6,1,1,דירה, רמת חן ובן ציון, נתניה,0,1,1,1,,1,1,1,0,0,0,0,0,"2,190,000 ₪"
118,6,קרקע,250,משופץ,,1,1,בית פרטי/קוטג', נתניה, נתניה,0,1,1,0,,1,1,1,1,0,0,0,0,"3,650,000 ₪"
119,5,1,115,משופץ,1,1,1,דירה, נתניה, נתניה,1,1,0,0,,1,0,1,1,0,1,0,0,"2,590,000 ₪"
120,4,3,115,משופץ,9,1,1,דירה, קרית השרון, נתניה,0,0,1,1,,0,0,1,1,0,0,0,0,"2,350,000 ₪"
121,5,6,130,חדש,8,1,2,גג/פנטהאוז, נתניה, נתניה,0,1,0,1,,1,0,1,0,1,0,0,0,לא צוין מחיר
122,3,קרקע,93,חדש מקבלן,7,,1,דירת גן, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"2,980,000 ₪"
123,2,1,56,חדש,7,1,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,0,1,0,0,0,1,0,0,"1,375,000 ₪"
124,3.5,2,117,משופץ,4,,ללא,דירה, מרכז העיר דרום, נתניה,,1,0,0,1,1,0,0,1,1,0,0,0,"1,850,000 ₪"
125,4,5,105,במצב שמור,8,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,0,1,0,0,0,0,0,"2,650,000 ₪"
126,3,2,72,במצב שמור,4,,ללא,דירה, מרכז העיר דרום, נתניה,,1,1,0,0,1,0,0,0,0,1,0,0,"1,660,000 ₪"
127,5,15,266,חדש,17,2,2,גג/פנטהאוז, אגמים, נתניה,,1,0,1,1,0,1,1,1,1,1,0,0,"4,750,000 ₪"
128,3,קרקע,120,במצב שמור,3,,ללא,דירת גן, קרית רבין, נתניה,,1,1,0,1,1,1,1,0,1,1,1,1,"1,980,000 ₪"
129,5,1,128,משופץ,6,1,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,1,1,0,1,0,1,1,0,0,1,1,"2,450,000 ₪"
130,3,1,75,במצב שמור,3,2,ללא,דירה, נאות הרצל, נתניה,,1,1,0,0,1,0,0,1,1,0,1,1,"1,450,000 ₪"
131,2,4,25,משופץ,6,,ללא,דירה, מרכז העיר דרום, נתניה,,1,1,1,0,0,0,0,1,0,0,0,0,"880,000 ₪"
132,2,1,63,חדש,7,1,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,1,1,0,0,1,0,0,0,0,0,0,"1,420,000 ₪"
133,4,3,90,במצב שמור,3,1,1,גג/פנטהאוז, גבעת האירוסים, נתניה,,1,1,1,0,1,0,0,0,0,1,0,0,"2,500,000 ₪"
134,5,2,130,במצב שמור,8,,2,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,1,1,0,0,0,1,0,0,0,"2,850,000 ₪"
135,4,2,100,משופץ,3,,1,דירה, קרית רבין, נתניה,,1,0,0,0,1,0,1,1,0,0,0,0,"1,800,000 ₪"
136,5,18,170,חדש,22,1,2,דירה, גלי הים, נתניה,,1,0,1,0,0,1,1,0,1,0,0,0,"4,500,000 ₪"
137,5,6,130,משופץ,7,1,2,גג/פנטהאוז, קרית השרון, נתניה,,1,1,1,0,1,0,1,1,1,0,0,0,"3,630,000 ₪"
138,5,4,121,חדש,9,1,2,דירה, גלי הים, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,"4,689,999 ₪"
139,5,8,150,חדש,22,2,2,דירה, עיר ימים, נתניה,,1,0,1,0,1,1,1,0,1,1,0,0,"5,100,000 ₪"
140,3,3,60,במצב שמור,3,,ללא,דירה, פרדס הגדוד, נתניה,,1,0,0,0,1,0,0,0,0,0,0,0,"1,800,000 ₪"
141,5,17,200,חדש,24,1,2,דופלקס ,,נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"7,500,000 ₪"
142,5,1,115,משופץ,1,1,1,דירה, נתניה, נתניה,1,1,0,0,,1,0,1,1,0,1,0,0,"2,590,000 ₪"
143,5,7,136,חדש,18,1,2,דירה, עיר ימים, נתניה,0,1,1,1,,1,1,1,0,1,1,0,0,"4,150,000 ₪"
144,5,1,302,חדש,7,1,2,דירת גן, אגמים, נתניה,1,1,1,1,,1,1,1,1,1,1,0,0,"4,500,000 ₪"
145,5,2,160,חדש,24,1,2,דירה, עיר ימים, נתניה,1,1,0,1,,0,1,1,1,1,0,0,0,"4,280,000 ₪"
146,4,1,100,משופץ,7,,ללא,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,1,0,0,"1,850,000 ₪"
147,5.5,4,126,משופץ,7,1,1,דירה, גלי הים, נתניה,1,1,0,1,,1,1,1,1,0,1,0,0,"2,830,000 ₪"
148,5,3,145,משופץ,7,1,1,דופלקס, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,0,0,0,"2,550,000 ₪"
149,4,1,105,משופץ,5,1,1,דירה, נתניה, נתניה,0,1,0,1,,1,1,1,1,0,1,1,1,"2,050,000 ₪"
150,6.5,קרקע,336,משופץ,,1,2,בית פרטי/קוטג', נוף הטיילת, נתניה,1,1,0,0,,1,1,1,1,1,1,1,1,"6,000,000 ₪"
151,5,9,170,חדש מקבלן,9,2,2,גג/פנטהאוז, מרכז העיר דרום, נתניה,0,1,0,1,,1,0,1,1,1,1,0,0,"10,000 ₪"
152,6,11,145,חדש,23,1,2,דירה, עיר ימים, נתניה,0,1,0,1,,1,1,1,1,1,1,1,1,"4,350,000 ₪"
153,6,8,170,משופץ,9,3,2,דופלקס, קרית השרון, נתניה,0,1,0,1,,1,1,1,1,1,1,1,1,"4,900,000 ₪"
154,5.5,4,130,משופץ,7,1,1,דירה, נאות שקד, נתניה,0,1,0,1,,1,1,1,1,0,1,0,0,"2,830,000 ₪"
155,5,2,160,חדש,24,1,2,דירה, עיר ימים, נתניה,1,1,0,1,,0,1,1,1,1,0,0,0,"4,280,000 ₪"
156,3,1,80,משופץ,3,1,ללא,דירה, נתניה, נתניה,0,1,0,0,,1,0,0,1,0,1,0,0,"1,650,000 ₪"
157,5,17,200,חדש,24,1,2,דופלקס, עיר ימים, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"7,500,000 ₪"
158,5,8,170,משופץ,8,2,2,גג/פנטהאוז, קרית השרון, נתניה,0,1,1,1,,1,1,1,1,1,1,0,0,"4,750,000 ₪"
159,5,12,140,חדש,19,1,2,דירה, עיר ימים, נתניה,1,1,1,1,,1,1,1,1,1,1,0,0,"4,600,000 ₪"
160,5,קרקע,270,חדש מקבלן,,2,1,דופלקס, נוף הטיילת, נתניה,0,0,0,1,,0,1,0,0,1,0,0,0,"12,000,000 ₪"
161,6.5,קרקע,336,משופץ,,1,3,בית פרטי/קוטג', נתניה, נתניה,1,1,1,0,,1,1,1,1,1,0,0,0,"6,000,000 ₪"
162,5,9,170,משופץ,9,2,2,גג/פנטהאוז, אגמים, נתניה,0,1,0,1,,0,1,1,0,1,1,1,1,"3,550,000 ₪"
163,4,1,100,משופץ,3,1,1,דירה, רמת חן ובן ציון, נתניה,,1,1,1,0,1,1,1,1,1,1,1,1,"2,500,000 ₪"
164,5,3,125,חדש,9,1,1,דירה, קרית השרון, נתניה,,1,1,1,1,1,1,1,0,1,1,1,1,"3,250,000 ₪"
165,4,3,114,במצב שמור,11,2,1,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,1,0,1,0,0,0,0,1,1,"3,500,000 ₪"
166,5,6,123,משופץ,8,1,2,דירה, קרית השרון, נתניה,,1,1,1,0,1,0,1,1,1,0,0,0,"3,280,000 ₪"
167,5,15,278,משופץ,17,2,3,גג/פנטהאוז, אגמים, נתניה,,1,1,1,0,0,1,1,1,1,1,1,1,"5,000,000 ₪"
168,3.5,4,116,במצב שמור,8,,ללא,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,1,0,0,0,0,0,0,0,"1,700,000 ₪"
169,4,11,122,משופץ,20,,ללא,דירה, נוף הטיילת, נתניה,,1,0,0,0,0,0,0,1,0,0,0,0,"3,500,000 ₪"
170,3,4,95,במצב שמור,7,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,1,1,0,1,1,0,0,"2,500,000 ₪"
171,5,2,140,משופץ,5,3,1,דירה, צפון מזרח מרכז העיר, נתניה,,0,0,1,0,1,0,1,1,1,0,0,0,"2,550,000 ₪"
172,4,2,107,משופץ,7,1,1,דירה, קרית השרון, נתניה,,1,0,1,0,0,0,1,1,1,0,0,0,"2,790,000 ₪"
173,6,קרקע,350,במצב שמור,,,3,בית פרטי/קוטג', משכנות זבולון, נתניה,,1,1,0,1,1,1,1,0,1,1,1,1,לא צוין מחיר
174,5.5,1,132,במצב שמור,7,2,1,דירה, פרדס הגדוד, נתניה,,1,0,1,1,1,1,1,0,0,0,0,0,"2,800,000 ₪"
175,7,1,250,משופץ,2,1,1,דירת גן, רמת ידין, נתניה,,1,0,0,1,1,1,0,0,1,1,0,0,"2,600,000 ₪"
176,5,19,142,חדש מקבלן,27,1,2,דירה, גלי הים, נתניה,,1,0,1,1,0,0,1,0,1,1,0,0,"4,200,000 ₪"
177,5.5,2,142,דרוש שיפוץ,2,2,1,דופלקס, גבעת האירוסים, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,"2,300,000 ₪"
178,5,14,135,חדש,19,1,2,דירה, נוף השרון, נתניה,,1,0,1,0,1,1,1,1,1,1,1,1,"2,420,000 ₪"
